gender,province,education,age_group,votechoice,citizenship,vote_literal,vote_ndp,vote_green,vote_conservative,vote_people,vote_Bloc
Female,QC,high,adult,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,medium,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,medium,young_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,medium,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,low,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Male,ON,low,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,low,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,medium,young_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Others,ON,medium,young_people,Green_Party,Canadian citizen,0,0,1,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Male,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,high,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Male,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,low,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,medium,young_people,NDP,Canadian citizen,0,1,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
Female,ON,medium,young_people,Conservative_Party,Canadian citizen,0,0,0,1,0,0
Female,ON,high,young_people,Liberal_Party,Canadian citizen,1,0,0,0,0,0
