cps19_gender,cps19_province,cps19_education,cps19_yob,cps19_votechoice,cps19_interest_elxn_1,cps19_v_likely
A woman,Quebec,Master's degree,1989,Green Party,9,Certain to vote
A woman,Quebec,Master's degree,1998,Don't know/ Prefer not to answer,6,Certain to vote
A woman,Ontario,Some university,2000,Liberal Party,8,Certain to vote
A man,Ontario,Some university,1998,Conservative Party,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,2000,Don't know/ Prefer not to answer,6,Certain to vote
A woman,Ontario,Some university,1999,Liberal Party,9,Certain to vote
A woman,Ontario,Some university,1998,Liberal Party,10,Certain to vote
A woman,Ontario,Some university,1998,Don't know/ Prefer not to answer,9,Certain to vote
A man,Ontario,Completed secondary/ high school,2000,Liberal Party,3,Likely to vote
A woman,Ontario,Completed secondary/ high school,2000,ndp,6,Likely to vote
A woman,Ontario,Some university,1998,Conservative Party,10,Certain to vote
A man,Ontario,Completed secondary/ high school,1999,Liberal Party,7,Likely to vote
A woman,Ontario,Some university,2000,Liberal Party,10,Certain to vote
A man,Ontario,Some university,1998,Liberal Party,4,Certain to vote
A woman,Ontario,Completed secondary/ high school,2000,Liberal Party,5,Likely to vote
A woman,Ontario,Completed secondary/ high school,2000,Liberal Party,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,2000,Green Party,8,Certain to vote
A woman,Ontario,Some university,2000,Green Party,10,Certain to vote
A woman,Ontario,Some university,1998,NA,6,Unlikely to vote
A woman,Ontario,Completed secondary/ high school,2000,ndp,8,Certain to vote
A man,Ontario,Completed secondary/ high school,2000,Conservative Party,8,Certain to vote
A man,Ontario,Some university,1995,Liberal Party,9,Certain to vote
A woman,Ontario,Some university,1999,Liberal Party,7,Certain to vote
A woman,Ontario,Completed secondary/ high school,2000,Don't know/ Prefer not to answer,10,Certain to vote
A woman,Ontario,Completed secondary/ high school,2000,Liberal Party,10,Certain to vote
A man,Ontario,Completed secondary/ high school,1999,Liberal Party,7,Certain to vote
A woman,Ontario,Completed secondary/ high school,2000,Don't know/ Prefer not to answer,10,Certain to vote
A man,Ontario,Some university,2000,Liberal Party,9,Likely to vote
A woman,Ontario,Some secondary/ high school,2000,Liberal Party,NA,Certain to vote
A man,Ontario,Completed secondary/ high school,1999,Conservative Party,10,Certain to vote
A woman,Ontario,Some university,1995,Liberal Party,7,Certain to vote
A woman,Ontario,Some university,1998,Green Party,10,Certain to vote
A man,Ontario,Some secondary/ high school,2000,Liberal Party,8,Certain to vote
A woman,Ontario,Some university,2000,Liberal Party,10,Certain to vote
A man,Ontario,Some university,1997,Liberal Party,10,Certain to vote
A man,Ontario,Completed secondary/ high school,2000,Conservative Party,9,Likely to vote
A woman,Ontario,Some university,2000,ndp,7,Likely to vote
A woman,Ontario,Some university,2000,ndp,8,Certain to vote
A woman,Ontario,Some university,2000,Liberal Party,7,Likely to vote
A woman,Ontario,Completed secondary/ high school,1998,Conservative Party,4,Certain to vote
A man,Ontario,Some university,1998,Liberal Party,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,2000,Liberal Party,8,Certain to vote
A woman,Ontario,Some university,1998,Liberal Party,9,Certain to vote
A woman,Ontario,Some secondary/ high school,1999,ndp,8,Certain to vote
A man,Ontario,Some university,1996,Don't know/ Prefer not to answer,9,Certain to vote
A woman,Ontario,Some university,2000,Don't know/ Prefer not to answer,8,Likely to vote
A man,Ontario,Some university,1999,Liberal Party,8,Certain to vote
A woman,Ontario,Some university,2000,ndp,7,Likely to vote
A man,Ontario,Some university,2000,Green Party,9,Certain to vote
A woman,Ontario,Some university,1996,ndp,2,Likely to vote
A man,Ontario,Completed secondary/ high school,1998,Liberal Party,7,Certain to vote
A woman,Ontario,Completed secondary/ high school,1999,ndp,9,Certain to vote
"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Ontario,Some university,1997,Green Party,9,Certain to vote
A woman,Ontario,Some university,1999,Liberal Party,10,Certain to vote
A woman,Ontario,Some university,2000,Liberal Party,8,Likely to vote
A man,Ontario,Some university,2000,Liberal Party,8,Certain to vote
A woman,Ontario,Some university,1999,ndp,8,Likely to vote
A woman,Ontario,Some university,1998,Liberal Party,10,Certain to vote
A man,Ontario,Some university,1997,ndp,8,Certain to vote
A woman,Ontario,Bachelor's degree,1996,ndp,4,Certain to vote
A man,Ontario,Completed secondary/ high school,2000,Liberal Party,7,Certain to vote
A woman,Ontario,Some university,2000,Liberal Party,10,Certain to vote
A woman,Ontario,Some university,2000,ndp,8,Likely to vote
A woman,Ontario,Some secondary/ high school,1997,ndp,7,Likely to vote
A woman,Ontario,Completed secondary/ high school,2000,ndp,8,Certain to vote
A woman,Ontario,Completed secondary/ high school,1999,Liberal Party,10,Certain to vote
A woman,Ontario,Completed secondary/ high school,1998,Liberal Party,8,Likely to vote
A woman,Ontario,Some university,1999,Conservative Party,NA,Certain to vote
A man,Ontario,Some university,1997,Don't know/ Prefer not to answer,9,Certain to vote
A woman,Ontario,Bachelor's degree,1997,Liberal Party,8,Certain to vote
A woman,Ontario,Some university,2000,Conservative Party,9,Certain to vote
A man,Ontario,Completed secondary/ high school,1996,ndp,2,Certain to vote
A man,Ontario,Some university,1997,Another party (please specify),9,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1969,Don't know/ Prefer not to answer,5,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1956,Liberal Party,4,Likely to vote
A woman,Ontario,Bachelor's degree,1947,Don't know/ Prefer not to answer,9,Certain to vote
A woman,Ontario,Master's degree,1991,ndp,3,Likely to vote
A man,British Columbia,Bachelor's degree,1960,Conservative Party,10,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1959,Liberal Party,NA,Certain to vote
A man,Ontario,Professional degree or doctorate,1956,ndp,10,Certain to vote
A woman,Ontario,Bachelor's degree,1990,Liberal Party,10,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1962,Green Party,10,Certain to vote
A man,Alberta,Bachelor's degree,1954,Conservative Party,8,Certain to vote
A woman,Saskatchewan,Completed secondary/ high school,1956,Conservative Party,8,Certain to vote
A man,Quebec,Some university,1975,Conservative Party,9,Certain to vote
A man,British Columbia,Bachelor's degree,1954,Liberal Party,10,Certain to vote
A man,Quebec,"Some technical, community college, CEGEP, College Classique",1978,Green Party,5,Certain to vote
A man,Ontario,Bachelor's degree,1957,Conservative Party,8,Likely to vote
A man,Alberta,Bachelor's degree,1977,Liberal Party,3,Certain to vote
A man,Ontario,Bachelor's degree,1987,Liberal Party,9,Certain to vote
A man,Ontario,Bachelor's degree,1960,Liberal Party,8,Certain to vote
A man,Ontario,"Completed technical, community college, CEGEP, College Classique",1985,Liberal Party,8,Certain to vote
A woman,British Columbia,Bachelor's degree,1952,Liberal Party,9,Certain to vote
A woman,British Columbia,Professional degree or doctorate,1953,Don't know/ Prefer not to answer,8,Certain to vote
A man,Quebec,Master's degree,1952,Bloc Québécois,9,Certain to vote
A man,Ontario,Completed secondary/ high school,1982,Green Party,7,Likely to vote
A man,Ontario,Bachelor's degree,1972,Conservative Party,7,Certain to vote
A woman,Ontario,Bachelor's degree,1951,ndp,10,Certain to vote
A woman,Alberta,"Completed technical, community college, CEGEP, College Classique",1956,Don't know/ Prefer not to answer,8,Certain to vote
A man,Ontario,Bachelor's degree,1989,Liberal Party,8,Likely to vote
A man,Quebec,Completed secondary/ high school,1960,Conservative Party,8,Certain to vote
A woman,British Columbia,Bachelor's degree,1958,Green Party,10,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1988,ndp,7,Certain to vote
A woman,Ontario,"Some technical, community college, CEGEP, College Classique",1954,Liberal Party,10,Certain to vote
A woman,Alberta,"Completed technical, community college, CEGEP, College Classique",1972,Conservative Party,10,Certain to vote
A woman,Manitoba,Bachelor's degree,1955,Liberal Party,5,Certain to vote
A woman,Ontario,Bachelor's degree,1950,ndp,6,Certain to vote
A woman,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique",1955,Conservative Party,10,Certain to vote
A man,Alberta,Master's degree,1970,Liberal Party,8,Certain to vote
A man,Saskatchewan,"Completed technical, community college, CEGEP, College Classique",1954,Liberal Party,8,Certain to vote
A woman,Quebec,"Completed technical, community college, CEGEP, College Classique",1943,Liberal Party,9,Certain to vote
A man,Quebec,Bachelor's degree,1964,Conservative Party,10,Certain to vote
A man,British Columbia,"Some technical, community college, CEGEP, College Classique",1963,Don't know/ Prefer not to answer,NA,Certain to vote
A man,Saskatchewan,Bachelor's degree,1956,Conservative Party,8,Certain to vote
A woman,Ontario,Bachelor's degree,1973,Don't know/ Prefer not to answer,5,Likely to vote
A man,Nova Scotia,Bachelor's degree,1950,Don't know/ Prefer not to answer,NA,Likely to vote
A woman,Ontario,Some university,1972,NA,5,Unlikely to vote
A woman,Ontario,Master's degree,1981,Conservative Party,7,Certain to vote
A man,Quebec,Some secondary/ high school,1994,NA,2,Unlikely to vote
A man,Prince Edward Island,"Completed technical, community college, CEGEP, College Classique",1962,Green Party,8,Certain to vote
A man,British Columbia,"Some technical, community college, CEGEP, College Classique",1951,Conservative Party,8,Certain to vote
A man,Alberta,Bachelor's degree,1952,Conservative Party,9,Certain to vote
A man,Quebec,Master's degree,1960,Conservative Party,6,Likely to vote
